-434,-803,519,-283,236,-1138,-10743,470,-4756
-278,-970,317,-384,519,-1125,-5126,-6295,-4523
-101,-861,550,-508,590,-1125,7299,-13014,-711
283,-753,521,-980,443,-1132,8250,-16475,3012
564,-580,512,-1288,348,-941,2328,-10528,-5344
693,-475,474,-1400,218,-775,16196,-225,905
427,-90,843,-1388,59,-750,4362,24879,-13808
-408,-179,944,-791,-195,-1093,-10003,31409,-18854
-803,-453,497,-141,29,-1011,-2021,904,11236
-862,-160,533,-189,-125,-992,804,5293,2052
-954,-84,338,-194,-178,-928,2045,11279,-687
-1028,-49,26,-47,-213,-718,-1101,-965,4310
-810,179,527,-129,-302,-769,-2909,-23859,6147
268,224,853,-815,-325,-973,-9329,-26550,3839
699,110,552,-1229,-201,-763,-1900,-6082,-5398
578,135,711,-1217,-278,-699,-5226,10392,-8337
416,33,896,-1016,-308,-883,-10137,5473,-8382
327,-10,941,-779,-255,-1043,-4419,3862,669
321,-141,841,-679,-207,-1087,1641,-4227,1882
476,-177,805,-1034,-190,-998,11830,-793,22000
172,103,957,-1240,-24,-884,17009,14519,15443
-372,497,724,-1134,-71,-1024,17841,22869,-23569
-1012,260,214,-602,-361,-966,3245,19764,-17558
-905,-406,-287,-5,-142,-604,-148,3322,-13950
-804,-659,-345,107,147,-470,18702,462,-12185
-413,-943,3,107,496,-508,289,-11135,-13771
-515,-922,59,-29,685,-674,-2742,-10684,6467
-486,-826,367,-129,508,-973,2279,-22197,784
-217,-957,529,-478,496,-1157,-1628,-11347,-5035
216,-745,604,-998,484,-1119,6730,-14117,2169
373,-549,699,-1252,336,-941,-1487,635,-4461
548,-449,637,-1288,206,-948,-269,-7666,-8597
698,-242,610,-1341,47,-852,6605,673,-5957
688,-1,621,-1264,-213,-744,3351,-1953,-4669
652,381,589,-1199,-284,-668,7031,-106,-5058
607,439,465,-1057,-426,-489,19426,-2184,11798
828,432,339,-1193,-290,-279,7584,2440,3616
400,635,611,-1299,-207,-330,3612,11729,-5685
170,727,523,-1211,-320,-521,6622,10817,-7320
-560,781,408,-909,-473,-591,2616,11717,-8603
-966,361,38,-590,-509,-604,301,9314,-19591
-988,-443,-25,-11,-213,-477,2147,-1488,-18555
-778,-695,-54,136,106,-515,-12269,-5986,-7816
-561,-793,-174,60,443,-706,-12998,-13147,-9218
-422,-940,-117,-82,673,-782,-5512,-7653,-7043
53,-899,-202,-514,927,-808,-4547,-9319,-18834
603,-700,-478,-963,915,-680,-5532,120,-17810
962,-424,-155,-1370,573,-604,26629,14016,-27016
934,224,77,-1305,11,-846,19099,8028,-14397
880,437,137,-1028,-343,-808,7215,219,-7407
651,717,89,-862,-432,-731,-7870,-11383,2952
924,236,38,-1087,-266,-891,-7655,-4651,9355
964,-152,17,-1252,5,-916,-32717,1378,12988
840,-378,-595,-1294,649,-712,-23082,-8449,12057
645,-432,-691,-1240,809,-483,6173,-7027,2746
412,-600,-799,-1146,874,-388,550,-12647,463
41,-646,-760,-1081,886,-254,2427,-14075,-5315
84,-791,-923,-1128,791,-114,3042,7393,-29748
705,-364,-613,-1370,514,-222,-2583,17285,-13917
943,146,-358,-1400,-54,-553,6131,7196,-6457
888,444,59,-1205,-290,-623,-4926,15123,-7567
591,122,692,-803,-379,-942,-25207,18809,5780
469,-398,814,-590,-83,-1158,-22033,5628,19292
-245,-968,127,-466,443,-1152,-10993,598,18220
-911,-589,41,-171,620,-974,1732,-4037,22824
-1046,124,-54,0,141,-884,4385,-2186,21896
-657,673,-49,-230,-261,-827,9835,-7022,17726
-734,509,265,-667,-461,-649,-10815,-18861,-32760
-929,-193,391,-283,-314,-757,-874,-2018,-18268
-404,-678,535,-53,124,-916,-6712,2170,-15071
-625,-1038,352,-82,490,-872,-14414,1691,26194
-1052,-320,-123,-23,-125,-533,3906,633,-12037
